"Date","RiverDischarge","Precipitation"
1930-06-02,12.3,15.4
1930-06-03,14.3,0
1930-06-04,18,0
1930-06-05,12.1,0
1930-06-06,10.2,5.5
1930-06-07,8.81,1.3
1930-06-08,11.2,3.5
1930-06-09,23.1,0
1930-06-10,25.8,0
1930-06-11,19,0
1930-06-12,11.2,0
1930-06-13,10.8,0
1930-06-14,9.97,0.9
1930-06-15,17,0
1930-06-16,14.5,24.1
1930-06-17,8.81,0
1930-06-18,9.77,0
1930-06-19,15,1.2
1930-06-20,10.4,0.2
1930-06-21,13.4,0
1930-06-22,24.1,0
1930-06-23,13.4,0.1
1930-06-24,15,4.4
1930-06-25,20.6,0.2
1930-06-26,22.4,1.2
1930-06-27,12.5,3.4
1930-06-28,9.18,0.5
1930-06-29,8.08,0
1930-06-30,7.54,0
1930-07-01,7.01,9.4
1930-07-02,8.62,0
1930-07-03,27.9,0
1930-07-04,20,0
1930-07-05,15.2,0
1930-07-06,13.6,18.5
1930-07-07,11.8,0
1930-07-08,15,0
1930-07-09,13.2,0
1930-07-10,11.6,3.7
1930-07-11,10.4,5.7
1930-07-12,10.6,0.7
1930-07-13,13.4,0.1
1930-07-14,10.4,11.7
1930-07-15,8.44,0.1
1930-07-16,13.8,0
1930-07-17,16.1,9.8
1930-07-18,9.77,38.7
1930-07-19,20.4,2.9
1930-07-20,59.8,0.2
1930-07-21,40.3,7.3
1930-07-22,19.8,0
1930-07-23,28.6,39.7
1930-07-24,16.8,5.6
1930-07-25,61.6,1.2
1930-07-26,49,0.6
1930-07-27,36.6,7.3
1930-07-28,23.6,4.9
1930-07-29,23.3,0
1930-07-30,23.8,0
1930-07-31,13.8,3.7
1930-08-01,11.6,0
1930-08-02,10.2,8
1930-08-03,9.18,2.9
1930-08-04,25.6,15.7
1930-08-05,18.8,2.3
1930-08-06,20.3,10
1930-08-07,22.4,0
1930-08-08,20.3,1.4
1930-08-09,16.4,0
1930-08-10,14.7,0.5
1930-08-11,12.1,0
1930-08-12,9.97,5.8
1930-08-13,9.18,0.5
1930-08-14,10.8,5.9
1930-08-15,14.5,2.8
1930-08-16,35.9,0
1930-08-17,47.3,0
1930-08-18,31.7,0
1930-08-19,19,1
1930-08-20,15.8,0
1930-08-21,9.38,2
1930-08-22,8.26,9.1
1930-08-23,7.9,0
1930-08-24,6.84,0
1930-08-25,6.33,0
1930-08-26,6.84,0
1930-08-27,6.67,0
1930-08-28,6.67,0
1930-08-29,6.67,0
1930-08-30,6.33,0
1930-08-31,5.84,0
